Detected GPUs: 2 Requested: 2



  0%|                                                                                                     | 0/732 [00:00<?, ?it/s]
TRAIN (1) | Loss: 3.046 | Acc 0.03 mIoU 0.00 | B 58.57 D 1.65 |:   0%|                                    | 0/732 [00:58<?, ?it/s]
TRAIN (1) | Loss: 3.046 | Acc 0.03 mIoU 0.00 | B 58.57 D 1.65 |:   0%|                         | 1/732 [00:58<11:54:50, 58.67s/it]
TRAIN (1) | Loss: 2.978 | Acc 0.07 mIoU 0.01 | B 31.47 D 1.09 |:   0%|                         | 1/732 [01:02<11:54:50, 58.67s/it]
TRAIN (1) | Loss: 2.978 | Acc 0.07 mIoU 0.01 | B 31.47 D 1.09 |:   0%|                          | 2/732 [01:02<8:35:15, 42.35s/it]
TRAIN (1) | Loss: 2.933 | Acc 0.11 mIoU 0.01 | B 22.33 D 0.84 |:   0%|                          | 2/732 [01:06<8:35:15, 42.35s/it]
TRAIN (1) | Loss: 2.933 | Acc 0.11 mIoU 0.01 | B 22.33 D 0.84 |:   0%|                          | 3/732 [01:06<6:14:56, 30.86s/it]
TRAIN (1) | Loss: 2.857 | Acc 0.19 mIoU 0.01 | B 17.77 D 0.72 |:   0%|                          | 3/732 [01:11<6:14:56, 30.86s/it]
TRAIN (1) | Loss: 2.857 | Acc 0.19 mIoU 0.01 | B 17.77 D 0.72 |:   1%|▏                         | 4/732 [01:11<4:37:03, 22.83s/it]
TRAIN (1) | Loss: 2.813 | Acc 0.24 mIoU 0.02 | B 15.01 D 0.63 |:   1%|▏                         | 4/732 [01:15<4:37:03, 22.83s/it]
TRAIN (1) | Loss: 2.813 | Acc 0.24 mIoU 0.02 | B 15.01 D 0.63 |:   1%|▏                         | 5/732 [01:15<3:28:07, 17.18s/it]
TRAIN (1) | Loss: 2.760 | Acc 0.29 mIoU 0.02 | B 13.17 D 0.58 |:   1%|▏                         | 5/732 [01:19<3:28:07, 17.18s/it]
TRAIN (1) | Loss: 2.760 | Acc 0.29 mIoU 0.02 | B 13.17 D 0.58 |:   1%|▏                         | 6/732 [01:19<2:39:49, 13.21s/it]
TRAIN (1) | Loss: 2.699 | Acc 0.35 mIoU 0.02 | B 11.86 D 0.53 |:   1%|▏                         | 6/732 [01:23<2:39:49, 13.21s/it]
TRAIN (1) | Loss: 2.699 | Acc 0.35 mIoU 0.02 | B 11.86 D 0.53 |:   1%|▏                         | 7/732 [01:23<2:06:12, 10.45s/it]
TRAIN (1) | Loss: 2.648 | Acc 0.37 mIoU 0.02 | B 10.88 D 0.51 |:   1%|▏                         | 7/732 [01:27<2:06:12, 10.45s/it]
TRAIN (1) | Loss: 2.648 | Acc 0.37 mIoU 0.02 | B 10.88 D 0.51 |:   1%|▎                         | 8/732 [01:27<1:42:50,  8.52s/it]
TRAIN (1) | Loss: 2.581 | Acc 0.41 mIoU 0.03 | B 10.13 D 0.49 |:   1%|▎                         | 8/732 [01:31<1:42:50,  8.52s/it]
TRAIN (1) | Loss: 2.581 | Acc 0.41 mIoU 0.03 | B 10.13 D 0.49 |:   1%|▎                         | 9/732 [01:31<1:26:41,  7.19s/it]
TRAIN (1) | Loss: 2.581 | Acc 0.41 mIoU 0.03 | B 9.52 D 0.48 |:   1%|▎                          | 9/732 [01:35<1:26:41,  7.19s/it]
TRAIN (1) | Loss: 2.581 | Acc 0.41 mIoU 0.03 | B 9.52 D 0.48 |:   1%|▎                         | 10/732 [01:35<1:15:20,  6.26s/it]
TRAIN (1) | Loss: 2.532 | Acc 0.43 mIoU 0.03 | B 9.01 D 0.45 |:   1%|▎                         | 10/732 [01:39<1:15:20,  6.26s/it]
TRAIN (1) | Loss: 2.532 | Acc 0.43 mIoU 0.03 | B 9.01 D 0.45 |:   2%|▍                         | 11/732 [01:39<1:06:51,  5.56s/it]
TRAIN (1) | Loss: 2.465 | Acc 0.46 mIoU 0.03 | B 8.60 D 0.44 |:   2%|▍                         | 11/732 [01:43<1:06:51,  5.56s/it]
TRAIN (1) | Loss: 2.465 | Acc 0.46 mIoU 0.03 | B 8.60 D 0.44 |:   2%|▍                         | 12/732 [01:43<1:01:22,  5.11s/it]
TRAIN (1) | Loss: 2.411 | Acc 0.48 mIoU 0.03 | B 8.26 D 0.43 |:   2%|▍                         | 12/732 [01:47<1:01:22,  5.11s/it]
TRAIN (1) | Loss: 2.411 | Acc 0.48 mIoU 0.03 | B 8.26 D 0.43 |:   2%|▍                           | 13/732 [01:47<57:35,  4.81s/it]
TRAIN (1) | Loss: 2.374 | Acc 0.49 mIoU 0.03 | B 7.96 D 0.42 |:   2%|▍                           | 13/732 [01:51<57:35,  4.81s/it]
TRAIN (1) | Loss: 2.374 | Acc 0.49 mIoU 0.03 | B 7.96 D 0.42 |:   2%|▌                           | 14/732 [01:51<55:13,  4.61s/it]
TRAIN (1) | Loss: 2.308 | Acc 0.51 mIoU 0.03 | B 7.71 D 0.41 |:   2%|▌                           | 14/732 [01:55<55:13,  4.61s/it]
TRAIN (1) | Loss: 2.308 | Acc 0.51 mIoU 0.03 | B 7.71 D 0.41 |:   2%|▌                           | 15/732 [01:55<53:21,  4.46s/it]
TRAIN (1) | Loss: 2.263 | Acc 0.52 mIoU 0.03 | B 7.48 D 0.41 |:   2%|▌                           | 15/732 [01:59<53:21,  4.46s/it]
TRAIN (1) | Loss: 2.263 | Acc 0.52 mIoU 0.03 | B 7.48 D 0.41 |:   2%|▌                           | 16/732 [01:59<51:46,  4.34s/it]
TRAIN (1) | Loss: 2.205 | Acc 0.54 mIoU 0.03 | B 7.27 D 0.40 |:   2%|▌                           | 16/732 [02:03<51:46,  4.34s/it]
